epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3182,2.42379,7.325,0.01704,0.08158,0.06811,0.0358,0.00806,2.73896,3.95238,0.0263,0.000661458,0.000661458,0.000661458
2,127.236,2.38038,3.45621,0.01658,0.26959,0.0805,0.04634,0.01267,2.55069,14.1825,0.02127,0.00131169,0.00131169,0.00131169
3,176.619,2.41377,3.12879,0.01749,0.38413,0.12693,0.12195,0.03016,nan,nan,nan,0.00194542,0.00194542,0.00194542
4,226.062,2.30096,3.01411,0.01561,0.2212,0.30341,0.13831,0.03279,2.89323,nan,0.02827,0.00192575,0.00192575,0.00192575
5,275.218,2.17247,2.63497,0.01492,0.3774,0.31269,0.23593,0.05862,2.63346,5.20213,0.0227,0.001901,0.001901,0.001901
6,323.782,2.00194,2.41504,0.01365,0.41463,0.36533,0.26744,0.07535,nan,nan,nan,0.00187625,0.00187625,0.00187625
7,372.749,2.0363,2.16715,0.01337,0.3929,0.41486,0.29025,0.10097,2.42036,2.70193,0.02117,0.0018515,0.0018515,0.0018515
8,421.94,2.02321,1.92294,0.01408,0.36581,0.41486,0.26139,0.07735,nan,nan,nan,0.00182675,0.00182675,0.00182675
9,471.079,1.92058,1.81077,0.01333,0.53708,0.39628,0.38767,0.12727,2.46436,2.85166,0.0223,0.001802,0.001802,0.001802
10,519.751,1.87402,1.62345,0.01264,0.47093,0.31579,0.27631,0.09152,2.49711,3.29049,0.02139,0.00177725,0.00177725,0.00177725
11,568.986,1.80879,1.54223,0.01253,0.47381,0.39866,0.38096,0.14128,nan,nan,nan,0.0017525,0.0017525,0.0017525
12,618.246,1.77945,1.36265,0.01227,0.56831,0.46056,0.407,0.13545,2.54276,2.74171,0.02236,0.00172775,0.00172775,0.00172775
13,667.595,1.74146,1.378,0.01191,0.61958,0.40867,0.41791,0.16654,2.42649,nan,0.02119,0.001703,0.001703,0.001703
