epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2943,2.73843,16.3674,0.01286,0.00015,0.10891,3e-05,1e-05,2.54882,7.73599,0.01459,0.000660066,0.000660066,0.000660066
2,93.982,2.66107,5.39594,0.01192,9e-05,0.05941,1e-05,0,3.81586,55.9626,0.02914,0.00131031,0.00131031,0.00131031
3,130.951,2.74625,4.87898,0.01226,0.00245,0.12871,0.00141,0.00033,nan,nan,nan,0.00194406,0.00194406,0.00194406
4,167.925,2.76319,4.49732,0.01284,0.00107,0.20792,0.00115,0.00022,nan,nan,nan,0.00192575,0.00192575,0.00192575
5,204.832,2.8176,4.21658,0.01289,0.07057,0.0495,0.0159,0.00332,2.78053,5.78971,0.01609,0.001901,0.001901,0.001901
6,242.174,2.62234,3.91696,0.01196,0.22713,0.12871,0.07869,0.02362,2.59873,3.39302,0.01487,0.00187625,0.00187625,0.00187625
7,279.33,2.64242,3.82535,0.01137,0.02663,0.46535,0.08185,0.01873,2.69842,3.74266,0.01537,0.0018515,0.0018515,0.0018515
8,316.518,2.4979,3.90101,0.01107,0.1012,0.13861,0.04187,0.01019,2.51546,4.0471,0.01374,0.00182675,0.00182675,0.00182675
9,354.008,2.40821,3.64031,0.01018,0.2206,0.19802,0.14018,0.03521,nan,nan,nan,0.001802,0.001802,0.001802
10,390.893,2.44827,3.67103,0.01046,0.02714,0.18812,0.02341,0.00596,nan,nan,nan,0.00177725,0.00177725,0.00177725
11,428.381,2.35841,3.32251,0.01055,0.27773,0.23987,0.1411,0.03692,2.43043,nan,0.01395,0.0017525,0.0017525,0.0017525
12,465.733,2.28631,3.3274,0.01015,0.25315,0.23762,0.13937,0.04528,nan,nan,nan,0.00172775,0.00172775,0.00172775
13,503.266,2.30486,3.3407,0.00881,0.18059,0.33663,0.11998,0.03181,2.28819,4.11601,0.01316,0.001703,0.001703,0.001703
14,540.636,2.38199,3.4064,0.0104,0.2845,0.32673,0.19544,0.06628,2.3984,3.22839,0.01381,0.00167825,0.00167825,0.00167825
